Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,466290,-,-,-,39.73,-105.18,-7,1820,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Fill Flag,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,20,0,0,0,0,0,0,0,1,-285.3762573,-3.400823975,746.6819458,47.4389801,126.1891801,3.680475473,255.6710205,3.037731409,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,20,30,0,0,0,0,0,0,0,-285.684668,-3.717138672,746.7689819,47.57226563,131.9509855,3.71509099,255.6710205,3.116833925,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,21,0,0,0,0,0,0,0,0,-285.992926,-4.033453369,746.8560181,47.69748306,137.6771114,3.749706507,257.1656494,3.195936441,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,21,30,0,0,0,0,0,0,0,-286.3104614,-4.359472656,746.8562012,48.36236,143.3065154,3.767461061,257.1656494,3.252976418,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,22,0,0,0,0,0,0,0,0,-286.6278137,-4.685522461,746.8563232,49.02435493,148.7453672,3.785215378,258.2045288,3.310016394,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,22,30,0,0,0,0,0,0,0,-286.9134277,-4.979040527,746.6766357,49.34949875,153.8357703,3.81472683,258.2045288,3.347812653,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,23,0,0,0,0,0,0,0,0,-287.1989197,-5.272558594,746.4968872,49.67463875,158.2957551,3.844238043,258.6000366,3.385608912,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,1,23,30,0,0,0,0,0,0,0,-287.4473938,-5.528204346,746.3024902,49.38535309,161.6304186,3.8922894,258.6000366,3.424248695,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,0,0,0,0,0,0,0,0,0,-287.6957764,-5.783850098,746.1080933,49.10139847,163.1381789,3.940340996,258.8837891,3.462888479,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,0,30,0,0,0,0,0,0,0,-287.8972839,-5.991491699,746.1524658,48.65734863,162.3372983,3.988114834,258.8837891,3.510532379,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,1,0,0,0,0,0,0,0,0,-288.0987,-6.199133301,746.1967773,48.21738625,159.4996515,4.035888672,257.1774902,3.558176041,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,1,30,0,0,0,0,0,0,0,-288.2482056,-6.353399658,746.3320313,47.91803551,155.3284852,4.077649593,257.1774902,3.680737019,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,2,0,0,0,0,0,0,0,0,-288.3976807,-6.507666016,746.4672241,47.62216187,150.3975477,4.119410038,255.856781,3.803298235,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,2,30,0,0,0,0,0,0,0,-288.5066284,-6.620062256,746.4421997,47.39830971,145.0462069,4.144594669,255.856781,3.894739151,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,3,0,0,0,0,0,0,0,7,-288.6154541,-6.732427979,746.4171753,47.17956161,139.4632647,4.169778824,255.0012207,3.986179829,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,3,30,0,0,0,0,0,0,7,-288.6796326,-6.798620605,746.3284912,47.0433197,133.758319,4.177667141,255.0012207,4.049882412,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,4,0,0,0,0,0,0,0,4,-288.7437805,-6.864813232,746.2397461,46.91265106,128.0005051,4.185555935,254.9264069,4.113584995,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,4,30,0,0,0,0,0,0,7,-288.7462219,-6.867407227,746.3364258,46.89354134,122.238112,4.19397974,254.9264069,4.1721735,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,5,0,0,0,0,0,0,0,7,-288.7487244,-6.870031738,746.4330444,46.87948036,116.5088031,4.202403545,255.9585571,4.230762482,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,5,30,0,0,0,0,0,0,4,-288.6870178,-6.806463623,746.6801758,46.87706184,110.8453154,4.21225214,255.9585571,4.2747612,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,6,0,0,0,0,0,0,0,7,-288.6252808,-6.74286499,746.9273071,46.87483025,105.2789467,4.222100735,256.8969116,4.318759918,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,6,30,0,0,0,0,0,0,7,-288.3903259,-6.50043335,747.0666504,46.51653099,99.84194571,4.2043643,256.8969116,4.331196785,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,7,0,0,0,0,0,0,0,7,-288.155188,-6.257971191,747.2059326,46.16004372,94.56935773,4.186627865,257.2624512,4.343633175,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,7,30,0,0,0,0,0,0,7,-287.2666382,-5.342687988,747.3054199,43.62552452,89.49734109,4.116153717,257.2624512,4.24628067,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,8,0,34,72,41,27,512,74,7,-286.3762878,-4.427374268,747.4048462,41.24094772,84.67961411,4.045679092,258.3841553,4.148928165,4,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,8,30,67,113,86,38,691,156,4,-285.0177063,-3.033758545,747.5092163,39.00838852,80.16134857,3.969993591,258.3841553,3.913893223,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,9,0,58,605,204,46,795,239,7,-283.6559509,-1.640112305,747.6135864,36.86216164,76.00351245,3.89430809,258.3106079,3.678858042,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,9,30,79,608,264,52,861,314,7,-282.0721191,-0.022589111,747.6462402,36.00579834,72.27358254,3.839287519,258.3106079,3.523474216,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,10,0,77,707,330,56,906,380,7,-280.4852966,1.594934082,747.6789551,35.05614281,69.04513912,3.784267187,255.9413147,3.368090391,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,10,30,109,629,361,59,935,434,7,-279.4842285,2.614129639,747.4204712,34.88134003,66.39473036,3.796735048,255.9413147,3.195847511,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,11,0,128,604,389,61,954,474,7,-278.4823364,3.633294678,747.1619873,34.61199379,64.39635098,3.809202671,250.8136444,3.02360487,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,11,30,148,561,402,62,964,499,7,-278.0936646,4.028527832,746.7789917,34.16348076,63.11381417,3.938142538,250.8136444,2.829649448,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,12,0,214,257,333,63,967,508,7,-277.7049011,4.423760986,746.3959961,33.70419693,62.59227611,4.067082405,244.4558411,2.635694027,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,12,30,218,183,301,63,962,502,6,-277.8029541,4.324151611,746.2159424,33.26281357,62.85113139,4.307414532,244.4558411,2.348487616,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,13,0,206,218,302,62,951,481,7,-277.9010376,4.224542236,746.0359497,32.81430054,63.88067725,4.547747135,237.7835693,2.061281204,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,13,30,176,331,313,60,932,444,7,-278.3538879,3.764215088,746.036438,33.6407795,65.64380283,4.86936903,237.7835693,1.786771059,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,14,0,165,242,255,57,903,394,7,-278.8065857,3.303918457,746.0369263,34.49562836,68.08205954,5.190991402,229.7146759,1.512260914,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,14,30,134,50,150,53,863,332,7,-279.5959229,2.500878906,746.0874634,37.56081963,71.12395421,5.45268631,229.7146759,1.380340219,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,15,0,105,41,116,48,803,260,7,-280.3847412,1.697869873,746.1380005,40.90765762,74.69305974,5.714381218,220.2963104,1.248419523,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,15,30,76,53,87,41,712,180,7,-281.2797607,0.785974121,746.1430664,45.19314575,78.71431782,5.964054108,220.2963104,1.283947587,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,16,0,44,30,47,31,564,98,7,-282.1739563,-0.125921631,746.1481323,49.95735931,83.117975,6.213726521,229.2588348,1.319475651,4,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,16,30,13,0,13,16,288,26,7,-282.5281128,-0.487371826,746.2416992,52.23549461,87.84109132,6.438095093,229.2588348,1.470245361,4,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,17,0,0,0,0,0,0,0,7,-282.8820862,-0.848852539,746.3352661,54.62155533,92.83311254,6.662463665,251.6126556,1.621015191,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,17,30,0,0,0,0,0,0,7,-283.1372131,-1.109472656,746.4703369,55.7797966,98.04130425,6.860431194,251.6126556,1.880532503,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,18,0,0,0,0,0,0,0,7,-283.3921875,-1.370092773,746.6054688,56.96385765,103.4265198,7.058398247,270.7789917,2.140049696,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,18,30,0,0,0,0,0,0,7,-283.755072,-1.741033936,746.6824951,57.05415535,108.9523552,7.209621429,270.7789917,2.384452343,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,19,0,0,0,0,0,0,0,7,-284.1177124,-2.112005615,746.7595215,57.13248062,114.5857355,7.360844612,279.2487793,2.628854752,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,19,30,0,0,0,0,0,0,7,-284.469519,-2.472021484,746.7822266,56.90556145,120.2951737,7.464071751,279.2487793,2.741485357,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,20,0,0,0,0,0,0,0,7,-284.8211426,-2.832037354,746.8049316,56.68362999,126.0485933,7.567298889,278.2444153,2.854115963,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,20,30,0,0,0,0,0,0,1,-285.0925049,-3.110113525,746.8766479,56.43177986,131.8102738,7.713471413,278.2444153,2.949322224,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,21,0,0,0,0,0,0,0,1,-285.3638367,-3.388220215,746.9483643,56.18381882,137.5360378,7.859643936,275.4300232,3.044528246,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,21,30,0,0,0,0,0,0,7,-285.5228027,-3.551275635,747.0635376,56.31546211,143.1648651,7.966102123,275.4300232,3.141191006,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,22,0,0,0,0,0,0,0,7,-285.6817383,-3.714331055,747.1787109,56.45433807,148.6031373,8.07256031,272.8226624,3.237853765,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,22,30,0,0,0,0,0,0,7,-285.7306274,-3.764471436,747.1705322,56.85884094,153.6937155,8.130833626,272.8226624,3.342569351,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,23,0,0,0,0,0,0,0,7,-285.7794861,-3.814611816,747.1623535,57.27377129,158.1568456,8.189106941,271.7358398,3.447284937,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,2,23,30,0,0,0,0,0,0,6,-285.8137268,-3.849707031,747.1149902,58.3061409,161.5028597,8.184191704,271.7358398,3.52053833,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,3,0,0,0,0,0,0,0,0,6,-285.847937,-3.884802246,747.067627,59.355196,163.0370746,8.179276466,271.5223999,3.593791962,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,3,0,30,0,0,0,0,0,0,7,-285.9705566,-4.010656738,747.1334229,60.64836121,162.2749464,8.121447563,271.5223999,3.649003983,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,3,1,0,0,0,0,0,0,0,7,-286.0931458,-4.13651123,747.1992188,61.96199226,159.4735917,8.063617706,272.4161682,3.704216242,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,3,1,30,0,0,0,0,0,0,4,-286.2421326,-4.289526367,747.3098145,63.0540638,155.3281808,7.964134693,272.4161682,3.728561878,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,3,2,0,0,0,0,0,0,0,7,-286.3910583,-4.442572021,747.4203491,64.16171837,150.4135594,7.864651203,273.7828979,3.752907276,0,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1,3,2,30,0,0,0,0,0,0,8,-286.5224365,-4.57755127,747.4717407,65.23766899,145.0721029,7.607138157,273.7828979,3.758913994,0,,,,,,,,,,,,,,,,,,,,,,,,,
